release_date,title,production_budget,domestic_gross,worldwide_gross,year,movie_id,genres,director_name,actor_name,release_month,season,movie_profit/loss,top_actor,high_profit
1979-06-15,Prophecy,12000000,22673340,22673340,1979,tt7385128,['Documentary'],Charlie Paul,Nicolas Cage,June,Summer,10673340,False,1
2015-01-30,Project Almanac,12000000,22348241,32909437,2015,tt2436386,"['Drama', 'Mystery', 'Sci-Fi']",Dean Israelite,Jonny Weston,January,Winter,20909437,False,1
2010-05-14,Just Wright,12000000,21540363,21867665,2010,tt1407061,"['Comedy', 'Romance', 'Sport']",Sanaa Hamri,Common,May,Spring,9867665,False,1
2013-11-15,Nebraska,12000000,17654912,24761360,2013,tt1821549,"['Adventure', 'Comedy', 'Drama']",Alexander Payne,Bruce Dern,November,Fall,12761360,False,1
2011-12-09,Young Adult,12000000,16311571,22750356,2011,tt1625346,"['Comedy', 'Drama']",Jason Reitman,Patrick Wilson,December,Winter,10750356,False,1
2013-11-01,About Time,12000000,15323921,89309178,2013,tt2194499,"['Comedy', 'Drama', 'Fantasy']",Richard Curtis,Domhnall Gleeson,November,Fall,77309178,False,1
2018-12-14,If Beale Street Could Talk,12000000,14915773,19859167,2018,tt7125860,"['Drama', 'Romance']",Barry Jenkins,Stephan James,December,Winter,7859167,False,1
2017-07-14,Wish Upon,12000000,14301505,23477345,2017,tt5322012,"['Drama', 'Fantasy', 'Horror']",John R. Leonetti,Ryan Phillippe,July,Summer,11477345,False,1
2017-10-13,Marshall,12000000,10051659,10116816,2017,tt5301662,"['Biography', 'Crime', 'Drama']",Reginald Hudlin,Chadwick Boseman,October,Fall,-1883184,False,0
2012-09-14,Arbitrage,12000000,7919574,35830713,2012,tt1764183,"['Drama', 'Thriller']",Nicholas Jarecki,Richard Gere,September,Fall,23830713,False,1
2000-05-12,Screwed,12000000,6982680,6982680,2000,tt1727816,"['Crime', 'Drama']",Reg Traviss,James D'Arcy,May,Spring,-5017320,False,0
2000-05-12,Screwed,12000000,6982680,6982680,2000,tt1956618,"['Comedy', 'Romance']",John Wynn,Kurt David Anderson,May,Spring,-5017320,False,0
2000-05-12,Screwed,12000000,6982680,6982680,2000,tt6577814,"['Comedy', 'Drama', 'Romance']",Nils-Erik Ekblom,Mikko Kauppila,May,Spring,-5017320,False,0
2000-05-12,Screwed,12000000,6982680,6982680,2000,tt9143490,['Documentary'],Vivekanand Palavali,Nicolas Cage,May,Spring,-5017320,False,0
1993-09-03,Fortress,12000000,6730578,46730578,1993,tt2607640,"['Documentary', 'Drama', 'News']",Lukás Kokes,Nicolas Cage,September,Fall,34730578,False,1
1999-03-19,Ravenous,12000000,2062406,2062406,1999,tt6243140,"['Drama', 'Horror', 'Sci-Fi']",Robin Aubert,Marc-André Grondin,March,Spring,-9937594,False,0
2013-03-01,Stoker,12000000,1703125,12034913,2013,tt1682180,"['Drama', 'Thriller']",Chan-wook Park,Matthew Goode,March,Spring,34913,False,1
2011-03-11,Kill the Irishman,12000000,1188194,1188194,2011,tt1416801,"['Biography', 'Crime', 'Drama']",Jonathan Hensleigh,Ray Stevenson,March,Spring,-10811806,False,0
2011-03-11,Kill the Irishman,12000000,1188194,1188194,2011,tt6869532,['Crime'],Wes Beiko,Hayden Ryan,March,Spring,-10811806,False,0
2005-09-30,Duma,12000000,870067,994790,2005,tt2112940,"['Biography', 'Crime', 'Documentary']",Abeer Zeibak Haddad,Nicolas Cage,September,Fall,-11005210,False,0
2012-04-20,Darling Companion,12000000,793352,1200346,2012,tt1730687,"['Comedy', 'Drama', 'Romance']",Lawrence Kasdan,Kevin Kline,April,Spring,-10799654,False,0
2001-07-20,Brother,12000000,450594,450594,2001,tt1588358,"['Drama', 'Family', 'Sport']",Marcel Rasquin,Fernando Moreno,July,Summer,-11549406,False,0
2001-07-20,Brother,12000000,450594,450594,2001,tt2517198,"['Drama', 'Mystery', 'Thriller']",Kendall Christianson,James Cavo,July,Summer,-11549406,False,0
2001-07-20,Brother,12000000,450594,450594,2001,tt2903186,"['Comedy', 'Drama', 'Thriller']",Geoffrey Enthoven,Koen De Bouw,July,Summer,-11549406,False,0
2007-09-28,Trade,12000000,214202,1513388,2007,tt7905148,['Drama'],Trae Briers,Breon Ansley,September,Fall,-10486612,False,0
2006-01-06,Fateless,12000000,196857,196857,2006,tt6471464,['Comedy'],Myles Humphus,Myles Humphus,January,Winter,-11803143,False,0
2015-10-09,Trash,12000000,17484,6553186,2015,tt10351040,['Thriller'],Bettie Wilde,Nathan Fihn,October,Fall,-5446814,False,0
2015-10-09,Trash,12000000,17484,6553186,2015,tt1846800,['Action'],Alejo Rébora,Sergio Aragona,October,Fall,-5446814,False,0
2015-10-09,Trash,12000000,17484,6553186,2015,tt1921149,"['Adventure', 'Crime', 'Drama']",Stephen Daldry,Rickson Tevez,October,Fall,-5446814,False,0
2015-10-09,Trash,12000000,17484,6553186,2015,tt1988822,['Comedy'],Tom Roskop,Matt Locker,October,Fall,-5446814,False,0
2015-10-09,Trash,12000000,17484,6553186,2015,tt4713454,['Drama'],Hajime Gonno,Kôsei Amano,October,Fall,-5446814,False,0
2011-08-19,5 Days of War,12000000,17479,87793,2011,tt1486193,"['Action', 'Drama', 'War']",Renny Harlin,Rupert Friend,August,Summer,-11912207,False,0
2015-11-11,10 Days in a Madhouse,12000000,14616,14616,2015,tt3453052,['Drama'],Timothy Hines,Christopher Lambert,November,Fall,-11985384,False,0
2010-02-10,Triangle,12000000,0,1594955,2010,tt2134186,"['Family', 'Fantasy', 'Music']",Yuka Matsushima,Alex Baruyot,February,Winter,-10405045,False,0
2010-02-10,Triangle,12000000,0,1594955,2010,tt2319426,['Drama'],Theodros Teshome,Kristos Andrews,February,Winter,-10405045,False,0
2010-02-10,Triangle,12000000,0,1594955,2010,tt4309446,['Documentary'],Costanza Quatriglio,Nicolas Cage,February,Winter,-10405045,False,0
2014-10-03,Drive Hard,12000000,0,0,2014,tt2968804,"['Action', 'Comedy', 'Crime']",Brian Trenchard-Smith,John Cusack,October,Fall,-12000000,False,0
2009-06-05,Home,12000000,0,0,2009,tt2075392,['Drama'],Muzaffer Özdemir,Kanbolat Gorkem Arslan,June,Summer,-12000000,False,0
2009-06-05,Home,12000000,0,0,2009,tt2224026,"['Adventure', 'Animation', 'Comedy']",Tim Johnson,Jim Parsons,June,Summer,-12000000,False,0
2009-06-05,Home,12000000,0,0,2009,tt2372760,"['Drama', 'Romance']",Maximilian Hult,Simon J. Berger,June,Summer,-12000000,False,0
